GO_0034719	GO_0034731
GO_0034719	GO_0034730
GO_0034708	GO_0044680
GO_0034708	GO_0043494
GO_0034708	GO_0034709
GO_0034708	GO_0070311
GO_0034708	GO_0070688
GO_0034708	GO_0044665
GO_0034708	GO_0071339
GO_0034708	GO_0031533
GO_0034708	GO_0035657
GO_0034708	GO_0031515
GO_0034708	GO_0048188
GO_0034708	GO_0044666
GO_0034708	GO_0043853
GO_0034708	GO_0036396
GO_0034708	GO_0035097
GO_0034708	GO_0043527
GO_0034708	GO_0035098
GO_0034708	GO_0043528
GO_0034702	GO_1990454
GO_0034702	GO_0071201
GO_0034702	GO_0071200
GO_0034702	GO_0071202
GO_0034702	GO_1990374
GO_0034702	GO_0008076
GO_0034702	GO_1904602
GO_0034702	GO_0036128
GO_0034702	GO_0032983
GO_0034702	GO_0017146
GO_0034702	GO_0071193
GO_0034702	GO_0071192
GO_0034702	GO_1990746
GO_0034702	GO_0071195
GO_0034702	GO_0071194
GO_0034702	GO_1990425
GO_0034702	GO_0019183
GO_0034702	GO_0071197
GO_0034702	GO_0071196
GO_0034702	GO_0032281
GO_0034702	GO_1990566
GO_0034702	GO_0071199
GO_0034702	GO_0071198
GO_0034702	GO_1990246
GO_0034702	GO_0017071
GO_0034702	GO_0098855
GO_0034702	GO_0034703
GO_0034702	GO_0034706
GO_0034702	GO_0034707
GO_0034702	GO_0034704
GO_0034702	GO_0008282
GO_0034702	GO_0016935
GO_0034702	GO_0034705
GO_0034702	GO_0008087
GO_0034702	GO_0005891
GO_0034702	GO_0005892
GO_0034702	GO_1990759
GO_0034702	GO_0008328
GO_0034702	GO_0001518
GO_0034702	GO_1902937
GO_0034703	GO_1990454
GO_0034703	GO_0071201
GO_0034703	GO_0071200
GO_0034703	GO_0071202
GO_0034703	GO_1990374
GO_0034703	GO_0008076
GO_0034703	GO_1904602
GO_0034703	GO_0036128
GO_0034703	GO_0071193
GO_0034703	GO_0071192
GO_0034703	GO_1990746
GO_0034703	GO_0071195
GO_0034703	GO_0071194
GO_0034703	GO_1990425
GO_0034703	GO_0071197
GO_0034703	GO_0071196
GO_0034703	GO_1990566
GO_0034703	GO_0071199
GO_0034703	GO_0071198
GO_0034703	GO_1990246
GO_0034703	GO_0017071
GO_0034703	GO_0098855
GO_0034703	GO_0034706
GO_0034703	GO_0034704
GO_0034703	GO_0008282
GO_0034703	GO_0034705
GO_0034703	GO_0008087
GO_0034703	GO_0005891
GO_0034703	GO_1990759
GO_0034703	GO_0001518
GO_0034703	GO_1902937
GO_0034706	GO_0001518
GO_0034707	GO_0019183
GO_0034707	GO_0016935
GO_0034704	GO_0008087
GO_0034704	GO_1990454
GO_0034704	GO_1990246
GO_0034704	GO_0036128
GO_0034704	GO_0005891
GO_0034704	GO_1990425
GO_0034705	GO_0071199
